original,tok_sent,drug_roa_phrase,roa_detail_1,roa_detail_2,roa_detail_3
Lyophilized Powder for Injection  (I.V. Infusion),lyophilized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Concentrate Solution for Injection for I.V. Infusion,concentrate solution for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
Powder For Injection (I.M. / I.V. ),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
"Solution for IV Injection 
(Intravenous Infusion)",solution for iv injection intravenous infusion,for iv injection intravenous infusion,"['intravenous', 'iv']","['infusion', 'injection']",
Solution for Injection (IV,solution for injection iv,for injection iv,['iv'],['injection'],
"Solution for Intravenous 
Infusion",solution for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Sterile Opthalmic Suspension (Eye Drops),sterile opthalmic suspension eye drops,,,,
Lyophilized Power for Solution for Intravenous Infusion,lyophilized power for solution for intravenous infusion,for solution for intravenous infusion,['intravenous'],['infusion'],solution
Granules For Solution( Orange Flavor),granules for solution orange flavor,for solution orange flavor,[],[],solution
Granules For Solution (Orange Flavor),granules for solution orange flavor,for solution orange flavor,[],[],solution
Lyophilized Powder For Solution For Injection (I.V./S.C.),lyophilized powder for solution for injection iv sc,for solution for injection iv sc,"['sc', 'iv']",['injection'],solution
Dry Powder in Capsule for Oral Inhalation,dry powder in capsule for oral inhalation,for oral inhalation,['oral'],['inhalation'],
Powder For Injection (IV / IM),powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
"Lyophized Powder for Injection for I.V. 
Infusion",lyophized powder for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
Solution For Injection (I.M./I.V),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Liposomal Injection,liposomal injection,,,,
Syrup (Strawberry-Vanilla Flavor),syrup strawberry-vanilla flavor,,,,
Dry Powder for Inhalation (DPI),dry powder for inhalation dpi,for inhalation dpi,[],['inhalation'],
Lyophilized Powder For Injecttion (Iv),lyophilized powder for injecttion iv,for injecttion iv,['iv'],[],
"Solution for I.V. Injection or 
Infusion",solution for iv injection or infusion,for iv injection or infusion,['iv'],"['infusion', 'injection']",
Chewable Tablet (see reverse),chewable tablet see reverse,,,,
Powder For Injection For I.V. Infusion,powder for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
Drc,drc,,,,
Solution for (I.V.) Infusion,solution for iv infusion,for iv infusion,['iv'],['infusion'],
"Solution for Injection (Intrathecal/Intravascular/Intraarticular/Oral or Rectal Administration/Oral in Conjunction with 
Intravenous Administration/Body Cavity)",solution for injection intrathecal intravascular intraarticular oral or rectal administration oral in conjunction with intravenous administration body cavity,for injection intrathecal intravascular intraarticular oral or rectal administration oral in conjunction with intravenous administration body cavity,"['rectal', 'oral', 'intravenous', 'intrathecal', 'intravascular', 'intraarticular']",['injection'],
Oral solution (Oral Drops),oral solution oral drops,,,,
Metered Inhaler Dose,metered inhaler dose,,,,
Powder for oral solution,powder for oral solution,for oral solution,['oral'],[],solution
"Lyophilized Powder for Solution for Injection 
(I.V./S.C.",lyophilized powder for solution for injection iv sc,for solution for injection iv sc,"['sc', 'iv']",['injection'],solution
"Formulation Each 5mL contains Retinol Palmitate (Vitamin A)- 
4,000 IU  Ergocalciferol (Vitamin D2 )-
200 IU  Ascorbic Acid (Vitamin C)-100mg  Nicotinamide (Vitamin B3)- 
12.5 mg  Calcium Pantothenate (Vitamin B5)-10mg  Thiamine Hydrochloride (Vitamin B1)-5mg   Riboflavin (Vitamin B2) -5 mg  Pyridoxine Hydrochloride (Vitamin B6)- 
5 mg  Cyanocobalamin (Vitamin B12) -3mcg",formulation each ml contains retinol palmitate vitamin a- iu ergocalciferol vitamin d - iu ascorbic acid vitamin c-mg nicotinamide vitamin b- mg calcium pantothenate vitamin b-mg thiamine hydrochloride vitamin b-mg riboflavin vitamin b - mg pyridoxine hydrochloride vitamin b- mg cyanocobalamin vitamin b -mcg,,,,
Solution for Injection for Epidural/Caudal/Peripheral Nerves,solution for injection for epidural caudal peripheral nerves,for injection for epidural caudal peripheral nerves,"['peripheral', 'epidural', 'caudal']",['injection'],
Lyophilized Powder for Solution for Injection (I.V./S.C.),lyophilized powder for solution for injection iv sc,for solution for injection iv sc,"['sc', 'iv']",['injection'],solution
Lyophilized Powder for Solution for Injection (I.V.),lyophilized powder for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Lyophilized Powder for Injection for I. V. Infusion,lyophilized powder for injection for i v infusion,for injection for i v infusion,[],"['infusion', 'injection']",
Solution For Injection/Infusion (I.M./I.V.),solution for injection infusion im iv,for injection infusion im iv,"['im', 'iv']","['infusion', 'injection']",
Solution For Injection (I.V./I.M),solution for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Powder For IV Infusion,powder for iv infusion,for iv infusion,['iv'],['infusion'],
Suspension (Tutti-Fruti Flavor),suspension tutti-fruti flavor,,,,
Suspension (Oral Drops) (Tutti-Fruti Flavor),suspension oral drops tutti-fruti flavor,,,,
Sterile Powder for Injection (I.M./I.V.),sterile powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Liquid Inhalation,liquid inhalation,,,,
Syrup (Caramel Flavor),syrup caramel flavor,,,,
Solution For Injection (Im / Iv),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Syrup (Oral drops) (Grape Flavor),syrup oral drops grape flavor,,,,
Syrup (Tutti Frutti Flavor),syrup tutti frutti flavor,,,,
Oral Solution (Grape Flavor),oral solution grape flavor,,,,
Film-Coated,film-coated,,,,
"Sterile 
Ophthalmic Solution (Eye Drops)",sterile ophthalmic solution eye drops,,,,
I.U. Tablet,iu tablet,,,,
Powder for Suspension (Strawberry flavor),powder for suspension strawberry flavor,for suspension strawberry flavor,[],['suspension'],suspension
Solution For Injection(I.M./I.V.),solution for injectionim iv,for injectionim iv,['iv'],[],
Power for Oral Solution,power for oral solution,for oral solution,['oral'],[],solution
Power For Oral Solution,power for oral solution,for oral solution,['oral'],[],solution
Powder For Oral Solution (Lemon flavor),powder for oral solution lemon flavor,for oral solution lemon flavor,['oral'],[],solution
"Solution for Injection 
(for Local infiltration, Epidural, Caudal, 
Peripheral nerves, and Sympathetic)",solution for injection for local infiltration epidural caudal peripheral nerves and sympathetic,for injection for local infiltration epidural caudal peripheral nerves and sympathetic,"['caudal', 'local', 'epidural', 'peripheral', 'sympathetic']",['injection'],
"Solution for Injection (for Local infiltration, Epidural, Caudal, Peripheral nerves, and Sympathetic)",solution for injection for local infiltration epidural caudal peripheral nerves and sympathetic,for injection for local infiltration epidural caudal peripheral nerves and sympathetic,"['caudal', 'local', 'epidural', 'peripheral', 'sympathetic']",['injection'],
Ophthalmic Solution (Eye drops),ophthalmic solution eye drops,,,,
Controlled-release Tablet,controlled-release tablet,,,,
Lyophilized Powder for Injecttion (IV),lyophilized powder for injecttion iv,for injecttion iv,['iv'],[],
Syrup (Oral Drops) Cherry Flavor,syrup oral drops cherry flavor,,,,
Solution For Injectin (I.V),solution for injectin iv,for injectin iv,['iv'],[],
Granules for Oral Use,granules for oral use,for oral use,['oral'],[],
Powder for Oral Suspension (Orange Flavor),powder for oral suspension orange flavor,for oral suspension orange flavor,['oral'],['suspension'],suspension
Syrup (Sweet Orange Flavor),syrup sweet orange flavor,,,,
Dragée,dragée,,,,
Pill,pill,,,,
Syrup (Ponkan Flavor),syrup ponkan flavor,,,,
Dragee,dragee,,,,
"Syrup (Oral 
Drops)",syrup oral drops,,,,
Caspsule,caspsule,,,,
Syrup (Lemon Orange),syrup lemon orange,,,,
Syrup (Peppermint Flavor),syrup peppermint flavor,,,,
syrup,syrup,,,,
Syrup (Sweet-Orange Flavor),syrup sweet-orange flavor,,,,
Syrup (Soothing Mint Flavor),syrup soothing mint flavor,,,,
SYRUP (Peppermint Flavor),syrup peppermint flavor,,,,
"Syrup(Menthol Flavor, Sugar Free)",syrupmenthol flavor sugar free,,,,
Capsule (equivalent to 50 mg extract),capsule equivalent to mg extract,,,,
Powder For Oral Suspension (ORange Flavor),powder for oral suspension orange flavor,for oral suspension orange flavor,['oral'],['suspension'],suspension
Syrup (Mint with Honey Flavor),syrup mint with honey flavor,,,,
"Syrup (Bubblegum, Tutti-Frutti, and Menthol Flavor)",syrup bubblegum tutti-frutti and menthol flavor,,,,
"Syrup (Bubblegum, Tutti-Frutti, and 
Menthol Flavor)",syrup bubblegum tutti-frutti and menthol flavor,,,,
Capsule (equivalent to 562.43 mg Sodium Ascorbate),capsule equivalent to mg sodium ascorbate,,,,
Suspension  (Oral Drops),suspension oral drops,,,,
Syrup (Strawberry Cherry Vanilla Flavor),syrup strawberry cherry vanilla flavor,,,,
Oral Solution for Gargle,oral solution for gargle,for gargle,[],[],gargle
Suspension (Oral Drops) (Alcohol Free) (Tutti Frutti Flavor),suspension oral drops alcohol free tutti frutti flavor,,,,
Suspension (Alcohol Free) (Lemon Flavor),suspension alcohol free lemon flavor,,,,
Suspension (Oral Drops) (Cherry Flavor),suspension oral drops cherry flavor,,,,
Powder for Solution (Melon Flavor),powder for solution melon flavor,for solution melon flavor,[],[],solution
Suspension (Alcohol-free),suspension alcohol-free,,,,
Suspension (Oral Drops) (Alcohol-Free),suspension oral drops alcohol-free,,,,
SYRUP (ORAL DROPS),syrup oral drops,,,,
Tablet Chewable,tablet chewable,,,,
10% SOLUTION,solution,,,,
Hexetidine,hexetidine,,,,
Stick Liniment,stick liniment,,,,
10% Solution,solution,,,,
Lozenge (Black Currant Flavor),lozenge black currant flavor,,,,
Topical Lotion Liniment,topical lotion liniment,,,,
solution,solution,,,,
Topical Solution (Surgical Handwash),topical solution surgical handwash,,,,
Solution (Body Wash),solution body wash,,,,
Solution (Surgical Scrub),solution surgical scrub,,,,
Suspension (Cherry Flavor),suspension cherry flavor,,,,
Syrup (Cherry Tutti-Frutti-Flavor),syrup cherry tutti-frutti-flavor,,,,
Wound Solution,wound solution,,,,
Cleaning Solution (Feminine Wash),cleaning solution feminine wash,,,,
Powder For Oral Solution (Apple Flavor),powder for oral solution apple flavor,for oral solution apple flavor,['oral'],[],solution
Powder For Oral Solution (Orange Flavor),powder for oral solution orange flavor,for oral solution orange flavor,['oral'],[],solution
"Powder for Oral 
Solution (Orange Flavor)",powder for oral solution orange flavor,for oral solution orange flavor,['oral'],[],solution
Suspension (Oral Drops) Melon Flavor,suspension oral drops melon flavor,,,,
Lozenge (Peppermint Flavor),lozenge peppermint flavor,,,,
"Powder for Solution 
(Orange Flavor)",powder for solution orange flavor,for solution orange flavor,[],[],solution
Powder for Solution (Orange Flavor),powder for solution orange flavor,for solution orange flavor,[],[],solution
Liniment (Extra Strength),liniment extra strength,,,,
Gel Patch,gel patch,,,,
Solution (Nenuco Fragrance),solution nenuco fragrance,,,,
"Solution 
(Star Air Fragrance)",solution star air fragrance,,,,
"Topical Solution 
(Toner)",topical solution toner,,,,
"Topical 
Cream",topical cream,,,,
Oral solution (Gargle),oral solution gargle,,,,
Skin Wipe,skin wipe,,,,
Swab Pad,swab pad,,,,
"Topical 
Solution (Cucumber Scent)",topical solution cucumber scent,,,,
Ointment (for external use),ointment for external use,for external use,['external'],[],
Oral Powder,oral powder,,,,
Refer to generic name,refer to generic name,,,,
Solution for Spot-On Application,solution for spot-on application,for spot-on application,[],[],
Freeze-dried Powder for Injection,freeze-dried powder for injection,for injection,[],['injection'],
Effervescent Tablet For Suspension,effervescent tablet for suspension,for suspension,[],['suspension'],suspension
Lyophilized Powder for Injection (In-Ovo/SC),lyophilized powder for injection in-ovo sc,for injection in-ovo sc,['sc'],['injection'],
