original,tok_sent,drug_form_phrase,drug_roa_phrase,form_format,roa_format,roa_detail_1,roa_detail_2
Powder for Solution for Injection,powder for solution for injection,powder,solution for injection,powder,solution,[],['injection']
Powder For Solution For Injection (IV/SC),powder for solution for injection iv sc,powder,solution for injection iv sc,powder,solution,"['sc', 'iv']",['injection']
Solution for Injection  (Slow I.V. Infusion),solution for injection slow iv infusion,solution,injection slow iv infusion,solution,,['iv'],"['injection', 'infusion']"
Sterile Ophtalmic Solution (Eye Drops),sterile ophtalmic solution eye drops,sterile ophtalmic solution eye drops,,solution,,[],[]
Eye &amp; Ear Suspension,eye amp ear suspension,eye amp ear suspension,,suspension,,[],[]
Opthalmic and Otic Suspension,opthalmic and otic suspension,opthalmic and otic suspension,,suspension,,[],[]
Ophthalmic and Otic Suspension,ophthalmic and otic suspension,ophthalmic and otic suspension,,suspension,,[],[]
Lyophilized Powder for Injection for Infusion,lyophilized powder for injection for infusion,lyophilized powder,injection for infusion,powder,,[],"['injection', 'infusion']"
Lyophilized powder for I.V infusion,lyophilized powder for iv infusion,lyophilized powder,iv infusion,powder,,['iv'],['infusion']
Powder In Capsule For Inhalation,powder in capsule for inhalation,powder in capsule,inhalation,powder,,[],['inhalation']
Powder For I.V Injection,powder for iv injection,powder,iv injection,powder,,['iv'],['injection']
"Solution for Injection 
(I.M./I.V. Infusion)",solution for injection im iv infusion,solution,injection im iv infusion,solution,,"['im', 'iv']","['injection', 'infusion']"
Film-Coated  Tablet,film-coated tablet,film-coated tablet,,tablet,,[],[]
Tropical Cream,tropical cream,tropical cream,,cream,,[],[]
Tropical Ointment,tropical ointment,tropical ointment,,ointment,,[],[]
Ampoules,ampoules,ampoules,,,,[],[]
Solution For Infusion (IM/IV),solution for infusion im iv,solution,infusion im iv,solution,,"['im', 'iv']",['infusion']
Syrup(Oral drops),syruporal drops,syruporal drops,,drops,,[],[]
Solution For Injection (SC/IM/IV),solution for injection sc im iv,solution,injection sc im iv,solution,,"['im', 'sc', 'iv']",['injection']
metered dose inhaler,metered dose inhaler,metered dose inhaler,,inhaler,,[],[]
solution for inhalation,solution for inhalation,solution,inhalation,solution,,[],['inhalation']
Delayed - Release Capsule,delayed - release capsule,delayed - release capsule,,capsule,,[],[]
Powder Suspension,powder suspension,powder suspension,,powder,,[],[]
Lyophilized Powder for Infusion,lyophilized powder for infusion,lyophilized powder,infusion,powder,,[],['infusion']
Powder For Solution For Injection (I.V),powder for solution for injection iv,powder,solution for injection iv,powder,solution,['iv'],['injection']
Powder For Injection (I.V/I.M),powder for injection iv im,powder,injection iv im,powder,,"['im', 'iv']",['injection']
Transdermal Drug Delivery System,transdermal drug delivery system,transdermal drug delivery system,,system,,[],[]
Lyophilized Powder For Solution,lyophilized powder for solution,lyophilized powder,solution,powder,solution,[],[]
Drops,drops,drops,,drops,,[],[]
Lyophilized Powder For Injection (I. V. Infusion),lyophilized powder for injection i v infusion,lyophilized powder,injection i v infusion,powder,,[],"['injection', 'infusion']"
Lyophilized Powder for Injection(I.V. Infusion),lyophilized powder for injectioniv infusion,lyophilized powder,injectioniv infusion,powder,,[],['infusion']
Powder for Solution for Injection (I.V.),powder for solution for injection iv,powder,solution for injection iv,powder,solution,['iv'],['injection']
Enteric - Coated Tablet,enteric - coated tablet,enteric - coated tablet,,tablet,,[],[]
Contrate Solution For Iv Infusion,contrate solution for iv infusion,contrate solution,iv infusion,solution,,['iv'],['infusion']
Lyophilized Powder For Injection/Infusion (I.V.),lyophilized powder for injection infusion iv,lyophilized powder,injection infusion iv,powder,,['iv'],"['injection', 'infusion']"
Delayed-release Tablet,delayed-release tablet,delayed-release tablet,,tablet,,[],[]
Powder for Injection/Infusion,powder for injection infusion,powder,injection infusion,powder,,[],"['injection', 'infusion']"
Orally-Disintegrating Tablet,orally-disintegrating tablet,orally-disintegrating tablet,,tablet,,[],[]
Iv Infusion,iv infusion,iv infusion,,,,[],[]
Powder fo IV Infusion,powder fo iv infusion,powder fo iv infusion,,powder,,[],[]
Concentrate for Intravenous Infusion,concentrate for intravenous infusion,concentrate,intravenous infusion,concentrate,,['intravenous'],['infusion']
Oral Drops Solution,oral drops solution,oral drops solution,,drops,,[],[]
Solution For Injection (I.M / I.V),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Suspension For Injection (IM/IA),suspension for injection im ia,suspension,injection im ia,suspension,,"['ia', 'im']",['injection']
Topical Solution (Mouth Paint),topical solution mouth paint,topical solution mouth paint,,solution,,[],[]
Dispesible Tablet,dispesible tablet,dispesible tablet,,tablet,,[],[]
Solution for Injection (I.M./I.V./S.C.,solution for injection im iv sc,solution,injection im iv sc,solution,,"['im', 'sc', 'iv']",['injection']
Solution for Injection (I.M./I. V./S.C.),solution for injection im i v sc,solution,injection im i v sc,solution,,"['im', 'sc']",['injection']
Total Parenteral Nutrition,total parenteral nutrition,total parenteral nutrition,,,,[],[]
Coated Tablet,coated tablet,coated tablet,,tablet,,[],[]
Modified Release tablet,modified release tablet,modified release tablet,,tablet,,[],[]
Lyophilized Powder For Injection/Infusion,lyophilized powder for injection infusion,lyophilized powder,injection infusion,powder,,[],"['injection', 'infusion']"
Lyophilized Powder For  Injection/Infusion,lyophilized powder for injection infusion,lyophilized powder,injection infusion,powder,,[],"['injection', 'infusion']"
Film-Coated Caplet,film-coated caplet,film-coated caplet,,,,[],[]
Oral Suspension (Strawberry Flavor),oral suspension strawberry flavor,oral suspension strawberry flavor,,suspension,,[],[]
Powder For Injection(I.M./I.V.),powder for injectionim iv,powder,injectionim iv,powder,,['iv'],[]
Powder Of Injection (IM/IV),powder of injection im iv,powder of injection im iv,,powder,,[],[]
"Lyophilized Powder for Solution for 
IV Infusion",lyophilized powder for solution for iv infusion,lyophilized powder,solution for iv infusion,powder,solution,['iv'],['infusion']
Solution for IV. Infusion,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Powder For Injection (I.M./ I.V.0,powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Concentrate Solution for Infusion (I.V.),concentrate solution for infusion iv,concentrate solution,infusion iv,concentrate,,['iv'],['infusion']
Solution for Injection I.V. Infusion,solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Emulsion For Injection/Infusion (IV),emulsion for injection infusion iv,emulsion,injection infusion iv,emulsion,,['iv'],"['injection', 'infusion']"
Powder For Injection (Im/Vi),powder for injection im vi,powder,injection im vi,powder,,['im'],['injection']
Powder Of Injection (Im/Iv),powder of injection im iv,powder of injection im iv,,powder,,[],[]
Lyophilized Powder For Intravenous Injection,lyophilized powder for intravenous injection,lyophilized powder,intravenous injection,powder,,['intravenous'],['injection']
Solution For Injection (I.M. And I.V.),solution for injection im and iv,solution,injection im and iv,solution,,"['im', 'iv']",['injection']
Enteric-Coated,enteric-coated,enteric-coated,,,,[],[]
Powder For Solution For Injection (I.M./I.V.),powder for solution for injection im iv,powder,solution for injection im iv,powder,solution,"['im', 'iv']",['injection']
Lyophilized Powder For Injection (Iv/Sc),lyophilized powder for injection iv sc,lyophilized powder,injection iv sc,powder,,"['sc', 'iv']",['injection']
100mg Hard Gelatin Capsule,mg hard gelatin capsule,mg hard gelatin capsule,,capsule,,[],[]
Pegylated Liposomal Concentrate Solution For Iv Infusion,pegylated liposomal concentrate solution for iv infusion,pegylated liposomal concentrate solution,iv infusion,concentrate,,['iv'],['infusion']
Concentrate Solution For Infusion (I.V.),concentrate solution for infusion iv,concentrate solution,infusion iv,concentrate,,['iv'],['infusion']
Pegylated Liposomal Suspension for Intravenous Infusion,pegylated liposomal suspension for intravenous infusion,pegylated liposomal suspension,intravenous infusion,suspension,,['intravenous'],['infusion']
Lyophilized Power For Injection (IV),lyophilized power for injection iv,lyophilized power,injection iv,,,['iv'],['injection']
Solution For Injection  (IM/IV  Infusion),solution for injection im iv infusion,solution,injection im iv infusion,solution,,"['im', 'iv']","['injection', 'infusion']"
Oral Dispersible Tablet,oral dispersible tablet,oral dispersible tablet,,tablet,,[],[]
Syrup (Grapes Flavor),syrup grapes flavor,syrup grapes flavor,,syrup,,[],[]
Sustained-Released Tablet,sustained-released tablet,sustained-released tablet,,tablet,,[],[]
Effervescent Tablet (Orange Tablet),effervescent tablet orange tablet,effervescent tablet orange tablet,,tablet,,[],[]
Dispersible Tablets for Oral Suspension,dispersible tablets for oral suspension,dispersible tablets,oral suspension,tablets,suspension,['oral'],['suspension']
Powder for injection (IV/IM),powder for injection iv im,powder,injection iv im,powder,,"['im', 'iv']",['injection']
Solution For Injection (I.M./S.C./I.V. Infusion),solution for injection im sc iv infusion,solution,injection im sc iv infusion,solution,,"['im', 'sc', 'iv']","['injection', 'infusion']"
Solution for Injection (1.V.),solution for injection v,solution,injection v,solution,,[],['injection']
Lyophilized Mass For Injection (IV),lyophilized mass for injection iv,lyophilized mass,injection iv,mass,,['iv'],['injection']
Volatile liquid for inhalation,volatile liquid for inhalation,volatile liquid,inhalation,liquid,,[],['inhalation']
Prolonged -Release Tablet,prolonged -release tablet,prolonged -release tablet,,tablet,,[],[]
Lyophilized Powder for Injection  (I.V. Infusion),lyophilized powder for injection iv infusion,lyophilized powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
Concentrate Solution for Injection for I.V. Infusion,concentrate solution for injection for iv infusion,concentrate solution,injection for iv infusion,concentrate,,['iv'],"['injection', 'infusion']"
Powder For Injection (I.M. / I.V. ),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
"Solution for IV Injection 
(Intravenous Infusion)",solution for iv injection intravenous infusion,solution,iv injection intravenous infusion,solution,,"['intravenous', 'iv']","['injection', 'infusion']"
Solution for Injection (IV,solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
"Solution for Intravenous 
Infusion",solution for intravenous infusion,solution,intravenous infusion,solution,,['intravenous'],['infusion']
Sterile Opthalmic Suspension (Eye Drops),sterile opthalmic suspension eye drops,sterile opthalmic suspension eye drops,,suspension,,[],[]
Lyophilized Power for Solution for Intravenous Infusion,lyophilized power for solution for intravenous infusion,lyophilized power,solution for intravenous infusion,,solution,['intravenous'],['infusion']
Granules For Solution( Orange Flavor),granules for solution orange flavor,granules,solution orange flavor,granules,solution,[],[]
Granules For Solution (Orange Flavor),granules for solution orange flavor,granules,solution orange flavor,granules,solution,[],[]
Lyophilized Powder For Solution For Injection (I.V./S.C.),lyophilized powder for solution for injection iv sc,lyophilized powder,solution for injection iv sc,powder,solution,"['sc', 'iv']",['injection']
Dry Powder in Capsule for Oral Inhalation,dry powder in capsule for oral inhalation,dry powder in capsule,oral inhalation,powder,,['oral'],['inhalation']
Powder For Injection (IV / IM),powder for injection iv im,powder,injection iv im,powder,,"['im', 'iv']",['injection']
"Lyophized Powder for Injection for I.V. 
Infusion",lyophized powder for injection for iv infusion,lyophized powder,injection for iv infusion,powder,,['iv'],"['injection', 'infusion']"
Solution For Injection (I.M./I.V),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Liposomal Injection,liposomal injection,liposomal injection,,,,[],[]
Syrup (Strawberry-Vanilla Flavor),syrup strawberry-vanilla flavor,syrup strawberry-vanilla flavor,,syrup,,[],[]
Dry Powder for Inhalation (DPI),dry powder for inhalation dpi,dry powder,inhalation dpi,powder,,[],['inhalation']
Lyophilized Powder For Injecttion (Iv),lyophilized powder for injecttion iv,lyophilized powder,injecttion iv,powder,,['iv'],[]
"Solution for I.V. Injection or 
Infusion",solution for iv injection or infusion,solution,iv injection or infusion,solution,,['iv'],"['injection', 'infusion']"
